di_A15	ra_41	st_VINE_ST	127	0.00139650982505	0.693989071038
di_A15	st_VINE_ST	ra_41	127	0.00139650982505	0.954887218045
di_A1	dw_Friday	hr_12	101	0.00111061017583	0.0700902151284
di_A1	dw_Friday	m_Apr	117	0.0012865484215	0.0811936155448
di_A1	dw_Friday	m_Aug	162	0.00178137473747	0.112421929216
di_A1	dw_Friday	m_Dec	116	0.00127555228115	0.0804996530187
di_A1	dw_Friday	m_Feb	105	0.00115459473725	0.0728660652325
di_A1	dw_Friday	m_Jan	102	0.00112160631618	0.0707841776544
di_A1	dw_Friday	m_Jul	139	0.00152846350931	0.0964607911173
di_A1	dw_Friday	m_Jun	159	0.0017483863164	0.110340041638
di_A1	dw_Friday	m_Mar	120	0.00131953684257	0.0832755031228
di_A1	dw_Friday	m_May	111	0.00122057157938	0.0770298403886
di_A1	dw_Friday	m_Nov	102	0.00112160631618	0.0707841776544
di_A1	dw_Friday	m_Sep	114	0.00125356000044	0.0791117279667
di_A1	dw_Friday	ra_111	105	0.00115459473725	0.0728660652325
di_A1	dw_Friday	st_WASHINGTON_ST	117	0.0012865484215	0.0811936155448
di_A1	dw_Monday	m_Apr	125	0.00137451754434	0.0940556809631
di_A1	dw_Monday	m_Dec	114	0.00125356000044	0.0857787810384
di_A1	dw_Monday	m_Jan	132	0.00145149052683	0.0993227990971
di_A1	dw_Monday	m_Jul	147	0.00161643263215	0.110609480813
di_A1	dw_Monday	m_Jun	102	0.00112160631618	0.0767494356659
di_A1	dw_Monday	m_May	114	0.00125356000044	0.0857787810384
di_A1	dw_Monday	m_Oct	127	0.00139650982505	0.0955605718585
di_A1	dw_Monday	m_Sep	102	0.00112160631618	0.0767494356659
di_A1	dw_Monday	ra_111	110	0.00120957543902	0.0827689992476
di_A1	dw_Monday	st_TREMONT_ST	100	0.00109961403547	0.0752445447705
di_A1	dw_Monday	st_WASHINGTON_ST	111	0.00122057157938	0.0835214446953
di_A1	dw_Saturday	hr_0	100	0.00109961403547	0.0640614990391
di_A1	dw_Saturday	hr_1	114	0.00125356000044	0.0730301089045
di_A1	dw_Saturday	hr_2	106	0.0011655908776	0.0679051889814
di_A1	dw_Saturday	m_Apr	133	0.00146248666718	0.085201793722
di_A1	dw_Saturday	m_Aug	142	0.00156145193037	0.0909673286355
di_A1	dw_Saturday	m_Dec	113	0.00124256386009	0.0723894939142
di_A1	dw_Saturday	m_Jan	100	0.00109961403547	0.0640614990391
di_A1	dw_Saturday	m_Jul	135	0.00148447894789	0.0864830237028
di_A1	dw_Saturday	m_Jun	154	0.00169340561463	0.0986547085202
di_A1	dw_Saturday	m_Mar	151	0.00166041719357	0.096732863549
di_A1	dw_Saturday	m_May	121	0.00133053298292	0.0775144138373
di_A1	dw_Saturday	m_Nov	121	0.00133053298292	0.0775144138373
di_A1	dw_Saturday	m_Oct	134	0.00147348280753	0.0858424087124
di_A1	dw_Saturday	m_Sep	158	0.00173739017605	0.101217168482
di_A1	dw_Saturday	of_3201	107	0.00117658701796	0.0685458039718
di_A1	dw_Saturday	of_802	134	0.00147348280753	0.0858424087124
di_A1	dw_Saturday	st_TREMONT_ST	110	0.00120957543902	0.070467648943
di_A1	dw_Saturday	st_WASHINGTON_ST	111	0.00122057157938	0.0711082639334
di_A1	dw_Sunday	hr_1	130	0.00142949824612	0.0993883792049
di_A1	dw_Sunday	hr_2	126	0.0013855136847	0.0963302752294
di_A1	dw_Sunday	m_Apr	103	0.00113260245654	0.07874617737
di_A1	dw_Sunday	m_Dec	120	0.00131953684257	0.0917431192661
di_A1	dw_Sunday	m_Jan	101	0.00111061017583	0.0772171253823
di_A1	dw_Sunday	m_Jul	131	0.00144049438647	0.100152905199
di_A1	dw_Sunday	m_Mar	109	0.00119857929867	0.0833333333333
di_A1	dw_Sunday	m_May	112	0.00123156771973	0.085626911315
di_A1	dw_Sunday	m_Nov	124	0.00136352140399	0.0948012232416
di_A1	dw_Sunday	m_Oct	112	0.00123156771973	0.085626911315
di_A1	dw_Sunday	m_Sep	135	0.00148447894789	0.103211009174
di_A1	dw_Sunday	of_802	133	0.00146248666718	0.101681957187
di_A1	dw_Sunday	st_WASHINGTON_ST	113	0.00124256386009	0.0863914373089
di_A1	dw_Thursday	hr_18	111	0.00122057157938	0.0825892857143
di_A1	dw_Thursday	m_Aug	128	0.00140750596541	0.0952380952381
di_A1	dw_Thursday	m_Feb	120	0.00131953684257	0.0892857142857
di_A1	dw_Thursday	m_Jul	118	0.00129754456186	0.0877976190476
di_A1	dw_Thursday	m_Jun	109	0.00119857929867	0.0811011904762
di_A1	dw_Thursday	m_Mar	105	0.00115459473725	0.078125
di_A1	dw_Thursday	m_May	161	0.00177037859711	0.119791666667
di_A1	dw_Thursday	m_Nov	114	0.00125356000044	0.0848214285714
di_A1	dw_Thursday	m_Oct	111	0.00122057157938	0.0825892857143
di_A1	dw_Thursday	m_Sep	109	0.00119857929867	0.0811011904762
